label_type,label,user,trial,type
upper,A,S1,t01.mat,test
upper,A,S1,t10.mat,test
upper,A,S1,t09.mat,test
upper,A,S1,t08.mat,test
upper,A,S1,t07.mat,test
upper,A,S1,t06.mat,test
upper,A,S1,t03.mat,test
upper,A,S1,t02.mat,test
upper,A,S1,t05.mat,test
upper,A,S1,t04.mat,test
upper,A,U1,t01.mat,test
upper,A,U1,t10.mat,test
upper,A,U1,t09.mat,test
upper,A,U1,t08.mat,test
upper,A,U1,t07.mat,test
upper,A,U1,t06.mat,test
upper,A,U1,t03.mat,test
upper,A,U1,t02.mat,test
upper,A,U1,t05.mat,test
upper,A,U1,t04.mat,test
upper,A,M1,t01.mat,train
upper,A,M1,t10.mat,train
upper,A,M1,t09.mat,train
upper,A,M1,t08.mat,train
upper,A,M1,t07.mat,train
upper,A,M1,t06.mat,train
upper,A,M1,t03.mat,train
upper,A,M1,t02.mat,train
upper,A,M1,t05.mat,train
upper,A,M1,t04.mat,train
upper,A,G3,t01.mat,train
upper,A,G3,t10.mat,train
upper,A,G3,t09.mat,train
upper,A,G3,t08.mat,train
upper,A,G3,t07.mat,train
upper,A,G3,t06.mat,train
upper,A,G3,t03.mat,train
upper,A,G3,t02.mat,train
upper,A,G3,t05.mat,train
upper,A,G3,t04.mat,train
upper,A,G2,t01.mat,train
upper,A,G2,t10.mat,train
upper,A,G2,t09.mat,train
upper,A,G2,t08.mat,train
upper,A,G2,t07.mat,train
upper,A,G2,t06.mat,train
upper,A,G2,t03.mat,train
upper,A,G2,t02.mat,train
upper,A,G2,t05.mat,train
upper,A,G2,t04.mat,train
upper,A,G1,t01.mat,train
upper,A,G1,t10.mat,train
upper,A,G1,t09.mat,train
upper,A,G1,t08.mat,train
upper,A,G1,t07.mat,train
upper,A,G1,t06.mat,train
upper,A,G1,t03.mat,train
upper,A,G1,t02.mat,train
upper,A,G1,t05.mat,train
upper,A,G1,t04.mat,train
upper,A,I1,t01.mat,train
upper,A,I1,t10.mat,train
upper,A,I1,t09.mat,train
upper,A,I1,t08.mat,train
upper,A,I1,t07.mat,train
upper,A,I1,t06.mat,train
upper,A,I1,t03.mat,train
upper,A,I1,t02.mat,train
upper,A,I1,t05.mat,train
upper,A,I1,t04.mat,train
upper,A,I3,t01.mat,train
upper,A,I3,t10.mat,train
upper,A,I3,t09.mat,train
upper,A,I3,t08.mat,train
upper,A,I3,t07.mat,train
upper,A,I3,t06.mat,train
upper,A,I3,t03.mat,train
upper,A,I3,t02.mat,train
