label_type,label,user,trial,type
upper,HBO,S1,t01.mat,test
upper,HBO,S1,t03.mat,test
upper,HBO,S1,t02.mat,test
upper,HBO,S1,t05.mat,test
upper,HBO,S1,t04.mat,test
upper,HBO,U1,t01.mat,test
upper,HBO,U1,t03.mat,test
upper,HBO,U1,t02.mat,test
upper,HBO,U1,t05.mat,test
upper,HBO,U1,t04.mat,test
upper,HBO,M1,t01.mat,test
upper,HBO,M1,t10.mat,test
upper,HBO,M1,t09.mat,test
upper,HBO,M1,t08.mat,test
upper,HBO,M1,t07.mat,test
upper,HBO,M1,t06.mat,test
upper,HBO,M1,t03.mat,test
upper,HBO,M1,t02.mat,test
upper,HBO,M1,t05.mat,test
upper,HBO,M1,t04.mat,test
upper,HBO,G3,t01.mat,train
upper,HBO,G3,t03.mat,train
upper,HBO,G3,t02.mat,train
upper,HBO,G3,t05.mat,train
upper,HBO,G3,t04.mat,train
upper,HBO,G2,t01.mat,train
upper,HBO,G2,t03.mat,train
upper,HBO,G2,t02.mat,train
upper,HBO,G2,t05.mat,train
upper,HBO,G2,t04.mat,train
upper,HBO,G1,t01.mat,train
upper,HBO,G1,t03.mat,train
upper,HBO,G1,t02.mat,train
upper,HBO,G1,t05.mat,train
upper,HBO,G1,t04.mat,train
upper,HBO,I1,t01.mat,train
upper,HBO,I1,t03.mat,train
upper,HBO,I1,t02.mat,train
upper,HBO,I1,t05.mat,train
upper,HBO,I1,t04.mat,train
upper,HBO,I3,t01.mat,train
upper,HBO,I3,t03.mat,train
upper,HBO,I3,t02.mat,train
upper,HBO,I3,t05.mat,train
upper,HBO,I3,t04.mat,train
upper,HBO,I2,t01.mat,train
upper,HBO,I2,t03.mat,train
upper,HBO,I2,t02.mat,train
upper,HBO,I2,t05.mat,train
upper,HBO,I2,t04.mat,train
upper,HBO,A1,t01.mat,train
upper,HBO,A1,t03.mat,train
upper,HBO,A1,t02.mat,train
upper,HBO,A1,t05.mat,train
upper,HBO,A1,t04.mat,train
upper,HBO,C3,t01.mat,train
upper,HBO,C3,t03.mat,train
upper,HBO,C3,t02.mat,train
upper,HBO,C3,t05.mat,train
upper,HBO,C3,t04.mat,train
upper,HBO,C2,t01.mat,train
upper,HBO,C2,t03.mat,train
upper,HBO,C2,t02.mat,train
upper,HBO,C2,t05.mat,train
upper,HBO,C2,t04.mat,train
upper,HBO,C1,t01.mat,train
upper,HBO,C1,t03.mat,train
upper,HBO,C1,t02.mat,train
upper,HBO,C1,t05.mat,train
upper,HBO,C1,t04.mat,train
upper,HBO,E1,t01.mat,train
upper,HBO,E1,t03.mat,train
upper,HBO,E1,t02.mat,train
upper,HBO,E1,t05.mat,train
upper,HBO,E1,t04.mat,train
upper,HBO,Z1,t01.mat,train
upper,HBO,Z1,t03.mat,train
upper,HBO,Z1,t02.mat,train
upper,HBO,Z1,t05.mat,train
upper,HBO,Z1,t04.mat,train
upper,HBO,Z2,t01.mat,train
upper,HBO,Z2,t03.mat,train
upper,HBO,Z2,t02.mat,train
upper,HBO,Z2,t05.mat,train
upper,HBO,Z2,t04.mat,train
upper,HBO,C4,t01.mat,train
upper,HBO,C4,t03.mat,train
upper,HBO,C4,t02.mat,train
upper,HBO,C4,t05.mat,train
upper,HBO,C4,t04.mat,train
upper,HBO,T1,t01.mat,train
upper,HBO,T1,t10.mat,train
upper,HBO,T1,t09.mat,train
upper,HBO,T1,t08.mat,train
upper,HBO,T1,t07.mat,train
upper,HBO,T1,t06.mat,train
upper,HBO,T1,t03.mat,train
upper,HBO,T1,t02.mat,train
upper,HBO,T1,t05.mat,train
upper,HBO,T1,t04.mat,train
upper,HBO,L1,t01.mat,train
upper,HBO,L1,t03.mat,train
upper,HBO,L1,t02.mat,train
upper,HBO,L1,t05.mat,train
upper,HBO,L1,t04.mat,train
upper,HBO,J1,t01.mat,train
upper,HBO,J1,t10.mat,train
upper,HBO,J1,t09.mat,train
upper,HBO,J1,t08.mat,train
upper,HBO,J1,t07.mat,train
upper,HBO,J1,t06.mat,train
upper,HBO,J1,t03.mat,train
upper,HBO,J1,t02.mat,train
upper,HBO,J1,t05.mat,train
upper,HBO,J1,t04.mat,train
upper,HBO,J3,t01.mat,train
upper,HBO,J3,t03.mat,train
upper,HBO,J3,t02.mat,train
upper,HBO,J3,t05.mat,train
upper,HBO,J3,t04.mat,train
upper,HBO,Y1,t01.mat,train
upper,HBO,Y1,t03.mat,train
upper,HBO,Y1,t02.mat,train
upper,HBO,Y1,t05.mat,train
upper,HBO,Y1,t04.mat,train
upper,HBO,Y3,t01.mat,train
upper,HBO,Y3,t03.mat,train
upper,HBO,Y3,t02.mat,train
upper,HBO,Y3,t05.mat,train
upper,HBO,Y3,t04.mat,train
upper,HBO,Y2,t01.mat,train
upper,HBO,Y2,t03.mat,train
upper,HBO,Y2,t02.mat,train
upper,HBO,Y2,t05.mat,train
upper,HBO,Y2,t04.mat,train
upper,ESPN,S1,t01.mat,test
upper,ESPN,S1,t03.mat,test
upper,ESPN,S1,t02.mat,test
upper,ESPN,S1,t05.mat,test
upper,ESPN,S1,t04.mat,test
upper,ESPN,U1,t01.mat,test
upper,ESPN,U1,t03.mat,test
upper,ESPN,U1,t02.mat,test
upper,ESPN,U1,t05.mat,test
upper,ESPN,U1,t04.mat,test
upper,ESPN,M1,t01.mat,test
upper,ESPN,M1,t10.mat,test
upper,ESPN,M1,t09.mat,test
upper,ESPN,M1,t08.mat,test
upper,ESPN,M1,t07.mat,test
upper,ESPN,M1,t06.mat,test
upper,ESPN,M1,t03.mat,test
upper,ESPN,M1,t02.mat,test
upper,ESPN,M1,t05.mat,test
upper,ESPN,M1,t04.mat,test
upper,ESPN,G3,t01.mat,test
upper,ESPN,G3,t03.mat,test
upper,ESPN,G3,t02.mat,test
upper,ESPN,G3,t05.mat,test
upper,ESPN,G3,t04.mat,test
upper,ESPN,G2,t01.mat,test
upper,ESPN,G2,t03.mat,test
upper,ESPN,G2,t02.mat,test
upper,ESPN,G2,t05.mat,test
upper,ESPN,G2,t04.mat,test
upper,ESPN,G1,t01.mat,test
upper,ESPN,G1,t03.mat,test
upper,ESPN,G1,t02.mat,test
upper,ESPN,G1,t05.mat,test
upper,ESPN,G1,t04.mat,test
upper,ESPN,I1,t01.mat,train
upper,ESPN,I1,t03.mat,train
upper,ESPN,I1,t02.mat,train
upper,ESPN,I1,t05.mat,train
upper,ESPN,I1,t04.mat,train
upper,ESPN,I3,t01.mat,train
upper,ESPN,I3,t03.mat,train
upper,ESPN,I3,t02.mat,train
