filename, type
007_static.mp4.txt.h5,train
008_static.mp4.txt.h5,train
009_static.mp4.txt.h5,train
010_static.mp4.txt.h5,incorrect
011_static.mp4.txt.h5,train
012_static.mp4.txt.h5,incorrect
013_static.mp4.txt.h5,train
014_static.mp4.txt.h5,train
015_static.mp4.txt.h5,train
017_static.mp4.txt.h5,train
019_static.mp4.txt.h5,train
022_static.mp4.txt.h5,train
023_static.mp4.txt.h5,incorrect
024_static.mp4.txt.h5,train
025_static.mp4.txt.h5,train
026_static.mp4.txt.h5,train
029_static.mp4.txt.h5,incorrect
030_static.mp4.txt.h5,incorrect
031_static.mp4.txt.h5,test
032_static.mp4.txt.h5,test
034_static.mp4.txt.h5,test
035_static.mp4.txt.h5,test
036_static.mp4.txt.h5,test
037_static.mp4.txt.h5,train
038_static.mp4.txt.h5,train
040_static.mp4.txt.h5,train
041_static.mp4.txt.h5,train
042_static.mp4.txt.h5,train
043_static.mp4.txt.h5,train
044_static.mp4.txt.h5,train
001_mohit_tick_static.mp4.txt.h5,incorrect
002_mohit_tick_static.mp4.txt.h5,incorrect
